symbol,name,exchange,side,entry_price,stop_loss,target_price,rsi,phase,reason
IM0,中证指数期货,cffex,long,8212.2,7868.4,8727.900000000001,30.57148926675167,Phase_B,Spring/弹簧效应 RSI=30.6 支撑=7868.40
IC0,中证500指数期货,cffex,long,8574.6,8173.2,9176.7,39.74895397023862,Phase_B,Spring/弹簧效应 RSI=39.7 支撑=8173.20
TF0,5年期国债期货,cffex,short,106.455,106.54,106.32749999999999,72.72723570250007,Phase_B,Upthrust/上冲回落 RSI=72.7 阻力=106.50
TS0,2年期国债期货,cffex,short,102.642,102.678,102.588,63.26521574356757,Phase_B,Upthrust/上冲回落 RSI=63.3 阻力=102.66
CU0,铜,shfe,short,104140.0,104250.0,103975.0,65.96306068357922,Phase_B,Upthrust/上冲回落 RSI=66.0 阻力=104250.00
LC0,碳酸锂,gfex,long,151700.0,145000.0,161750.0,30.59548254605464,Phase_B,Spring/弹簧效应 RSI=30.6 支撑=150260.00
RB0,螺纹钢,shfe,short,3090.0,3106.0,3066.0,63.9999999104,Phase_B,Upthrust/上冲回落 RSI=64.0 阻力=3106.00
M0,豆粕,dce,short,3056.0,3062.0,3047.0,77.0114941909103,Phase_B,Upthrust/上冲回落 RSI=77.0 阻力=3062.00
HC0,热轧卷板,shfe,short,3295.0,3328.0,3245.5,62.12121198943985,Phase_B,Upthrust/上冲回落 RSI=62.1 阻力=3308.00
Y0,豆油,dce,short,8573.0,8657.0,8447.0,67.72823777180052,Phase_B,Upthrust/上冲回落 RSI=67.7 阻力=8657.00
P0,棕榈油,dce,short,9311.0,9438.0,9120.5,67.57215618088267,Phase_B,Upthrust/上冲回落 RSI=67.6 阻力=9438.00
I0,铁矿石,dce,short,751.5,757.0,743.25,68.4210524299169,Phase_B,Upthrust/上冲回落 RSI=68.4 阻力=752.50
SA0,纯碱,czce,long,1085.0,1065.0,1115.0,39.02439017727542,Phase_B,Spring/弹簧效应 RSI=39.0 支撑=1065.00
AL0,铝,shfe,short,23135.0,23220.0,23007.5,63.95348836168199,Phase_B,Upthrust/上冲回落 RSI=64.0 阻力=23220.00
V0,PVC,dce,short,4539.0,4547.0,4527.0,72.16494840153045,Phase_B,Upthrust/上冲回落 RSI=72.2 阻力=4547.00
TA0,PTA,czce,short,5624.0,5756.0,5426.0,66.77631577409755,Phase_B,Upthrust/上冲回落 RSI=66.8 阻力=5756.00
OI0,菜油,czce,short,9921.0,9942.0,9889.5,73.59454853440675,Phase_B,Upthrust/上冲回落 RSI=73.6 阻力=9942.00
SC0,上海原油,ine,short,472.9,493.7,441.69999999999993,67.12473563004792,Phase_B,Upthrust/上冲回落 RSI=67.1 阻力=493.70
SP0,纸浆,shfe,short,4830.0,4832.0,4827.0,61.676646680734336,Phase_B,Upthrust/上冲回落 RSI=61.7 阻力=4832.00
RM0,菜粕,czce,short,2331.0,2343.0,2313.0,70.55555550067902,Phase_B,Upthrust/上冲回落 RSI=70.6 阻力=2343.00
PP0,聚丙烯,dce,short,7609.0,7754.0,7391.5,70.56650245088755,Phase_B,Upthrust/上冲回落 RSI=70.6 阻力=7754.00
MA0,甲醇,czce,short,2483.0,2535.0,2405.0,65.86826344544443,Phase_B,Upthrust/上冲回落 RSI=65.9 阻力=2535.00
EB0,苯乙烯,dce,short,7842.0,7910.0,7740.0,76.66666665474074,Phase_B,Upthrust/上冲回落 RSI=76.7 阻力=7910.00
SM0,锰硅,czce,short,5874.0,5940.0,5775.0,67.9347825828509,Phase_B,Upthrust/上冲回落 RSI=67.9 阻力=5940.00
SN0,锡,shfe,short,417630.0,419300.0,415125.0,61.8021844657569,Phase_B,Upthrust/上冲回落 RSI=61.8 阻力=419300.00
L0,塑料,dce,short,7215.0,7284.0,7111.5,74.04891302939286,Phase_B,Upthrust/上冲回落 RSI=74.0 阻力=7284.00
ZN0,沪锌,shfe,short,24935.0,25010.0,24822.5,65.71428570377142,Phase_B,Upthrust/上冲回落 RSI=65.7 阻力=25010.00
